Date,Open,High,Low,Close,Adj Close,Volume
2023-02-24,11887.76953125,11889.240234375,11742.73046875,11787.4501953125,11787.4501953125,996600
2023-02-27,11728.08984375,11781.2802734375,11678.7998046875,11701.9501953125,11701.9501953125,988600
2023-02-28,11745.16015625,11792.6796875,11666.3701171875,11783.7998046875,11783.7998046875,1015100
2023-03-01,11783.759765625,11931.099609375,11751.3603515625,11914.3203125,11914.3203125,1275600
2023-03-02,11902.169921875,11929.150390625,11837.1201171875,11849.509765625,11849.509765625,1275500
2023-03-03,11862.16015625,11895.9697265625,11770.33984375,11851.919921875,11851.919921875,1156200
2023-03-06,11850.8203125,11862.3701171875,11742.1298828125,11842.8798828125,11842.8798828125,1284700
2023-03-07,11824.169921875,11839.6103515625,11606.1904296875,11608.580078125,11608.580078125,1338300
2023-03-08,11566.5703125,11617.9404296875,11534.669921875,11598.2900390625,11598.2900390625,963000
2023-03-09,11605.9404296875,11637.0302734375,11525.23046875,11579.990234375,11579.990234375,912500
2023-03-10,11513.66015625,11535.5400390625,11437.990234375,11442.5400390625,11442.5400390625,1066400
2023-03-13,11405.1396484375,11511.1201171875,11396.6103515625,11505.01953125,11505.01953125,1182100
2023-03-14,11483.650390625,11486.5595703125,11282.580078125,11416.5703125,11416.5703125,1295700
2023-03-15,11485.9501953125,11537.7197265625,11408.1904296875,11413.4296875,11413.4296875,1117900
2023-03-16,11336.75,11381.73046875,11223.099609375,11237.7001953125,11237.7001953125,1230400
2023-03-17,11328.3701171875,11388.51953125,11245.150390625,11278.0498046875,11278.0498046875,1469900
2023-03-20,11289.9599609375,11342.0302734375,11231.009765625,11247.1298828125,11247.1298828125,1546600
2023-03-21,11270.0703125,11427.25,11270.0703125,11427.25,11427.25,1255400
2023-03-22,11459.830078125,11521.419921875,11448.1904296875,11496.9296875,11496.9296875,1546700
2023-03-23,11457.7900390625,11605.2900390625,11442.9501953125,11605.2900390625,11605.2900390625,1543300
2023-03-24,11616.4599609375,11648.5400390625,11581.419921875,11634.2197265625,11634.2197265625,1622300
2023-03-27,11621.919921875,11659.0,11558.3798828125,11647.9404296875,11647.9404296875,1688200
2023-03-28,11637.509765625,11649.150390625,11548.419921875,11564.4501953125,11564.4501953125,1467700
2023-03-29,11584.91015625,11623.4296875,11538.169921875,11579.91015625,11579.91015625,1387500
2023-03-30,11578.330078125,11656.48046875,11505.5498046875,11651.830078125,11651.830078125,1352200
2023-03-31,11666.3095703125,11737.2802734375,11657.5703125,11726.400390625,11726.400390625,1438400
2023-04-03,11751.6796875,11898.759765625,11751.6796875,11889.419921875,11889.419921875,1895100
2023-04-04,11878.16015625,11885.3798828125,11792.240234375,11859.48046875,11859.48046875,1827300
2023-04-06,11787.349609375,11874.7998046875,11778.7998046875,11866.3095703125,11866.3095703125,1637000
2023-04-07,11867.8701171875,11979.58984375,11858.5,11967.740234375,11967.740234375,1482500
2023-04-10,11987.6796875,11992.3203125,11845.8798828125,11871.9296875,11871.9296875,1592500
2023-04-11,11866.349609375,11914.3203125,11819.759765625,11877.150390625,11877.150390625,1515500
2023-04-12,11873.259765625,11912.9501953125,11842.259765625,11883.509765625,11883.509765625,1590600
2023-04-13,11836.8203125,11844.400390625,11727.8896484375,11739.83984375,11739.83984375,1577500
2023-04-14,11760.4296875,11816.6796875,11737.2998046875,11800.08984375,11800.08984375,1472800
2023-04-17,11783.6796875,11855.48046875,11781.2900390625,11855.48046875,11855.48046875,1544500
2023-04-18,11834.76953125,11891.1103515625,11818.25,11860.400390625,11860.400390625,1466600
2023-04-19,11844.3203125,11844.3203125,11743.849609375,11760.26953125,11760.26953125,1473800
2023-04-20,11751.3798828125,11751.3798828125,11659.650390625,11717.259765625,11717.259765625,1554800
2023-04-21,11729.7998046875,11751.41015625,11450.1298828125,11450.4296875,11450.4296875,1695800
2023-04-24,11442.3798828125,11452.91015625,11265.76953125,11317.009765625,11317.009765625,1587200
2023-04-25,11307.08984375,11320.4501953125,11034.1796875,11149.009765625,11149.009765625,1733200
2023-04-26,11101.1796875,11244.0400390625,11088.2001953125,11185.6796875,11185.6796875,1591200
2023-04-27,11140.8896484375,11258.759765625,11128.1103515625,11217.0,11217.0,1489500
2023-04-28,11228.4599609375,11340.4599609375,11228.4599609375,11338.669921875,11338.669921875,1618500
2023-05-04,11310.349609375,11329.0,11242.1201171875,11273.8701171875,11273.8701171875,1865600
2023-05-05,11260.6201171875,11262.330078125,11124.91015625,11180.8701171875,11180.8701171875,1698700
2023-05-08,11206.330078125,11234.919921875,11158.830078125,11225.76953125,11225.76953125,1711400
2023-05-09,11208.740234375,11265.330078125,11121.9697265625,11125.01953125,11125.01953125,1907500
2023-05-10,11101.009765625,11177.8095703125,11043.3603515625,11140.1904296875,11140.1904296875,1471000
2023-05-11,11158.7197265625,11200.91015625,11136.259765625,11142.5302734375,11142.5302734375,1309300
2023-05-12,11131.2998046875,11172.7099609375,11004.259765625,11005.6396484375,11005.6396484375,1263800
2023-05-15,11019.7001953125,11178.6201171875,10995.7001953125,11178.6201171875,11178.6201171875,1393000
2023-05-16,11182.3603515625,11182.3603515625,11069.4404296875,11099.259765625,11099.259765625,1171500
2023-05-17,11084.5595703125,11120.9697265625,11036.76953125,11091.080078125,11091.080078125,997700
2023-05-18,11108.330078125,11144.48046875,11024.08984375,11078.2802734375,11078.2802734375,1179800
